 ******* Program UNSATCHEM-1D
 ******* 
 Missouri Field Experiment - 1981                                        
 Date:  21. 3.    Time:  15:17:51
 Units: L = cm   , T = days , M = mmol 


 Time:      61.000000

 Node    Depth      Head Moisture       K          C         Flux        Sink     Kappa        Temp       CO2      CO2 Prod
         [L]       [L]     [-]        [L/T]      [1/L]      [L/T]        [1/T]     [-]          [-]       [-]         [-/T] 

  56   -40.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.4034E-03
  55   -41.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.3632E-03
  54   -42.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.3270E-03
  53   -43.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.2944E-03
  52   -44.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.2650E-03
  51   -45.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.2386E-03
  50   -46.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.2148E-03
  49   -47.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.1934E-03
  48   -48.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.1741E-03
  47   -49.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.1568E-03
  46   -50.50    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.1339E-03
  45   -52.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.1144E-03
  44   -54.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.9275E-04
  43   -56.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.7518E-04
  42   -58.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.6094E-04
  41   -60.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.4940E-04
  40   -62.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.4004E-04
  39   -64.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.3246E-04
  38   -66.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.2631E-04
  37   -68.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.2133E-04
  36   -70.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.1729E-04
  35   -72.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.1401E-04
  34   -74.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.1136E-04
  33   -76.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.9206E-05
  32   -78.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.7463E-05
  31   -80.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.6049E-05
  30   -82.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.4903E-05
  29   -84.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.3975E-05
  28   -86.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.3222E-05
  27   -88.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.2611E-05
  26   -90.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.2117E-05
  25   -92.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.1716E-05
  24   -94.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.1391E-05
  23   -96.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.1127E-05
  22   -98.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.9138E-06
