 ******* Program UNSATCHEM-1D
 ******* 
 Missouri Field Experiment - 1981                                        
 Date:  21. 3.    Time:  15:17:51
 Units: L = cm   , T = days , M = mmol 

       Time        rTop      rRoot      vTop       vRoot      vBot     sum(rTop) sum(rRoot)  sum(vTop) sum(vRoot)  sum(vBot)    hTop       hRoot      hBot      t-level
        [T]       [L/T]      [L/T]      [L/T]      [L/T]      [L/T]       [L]        [L]        [L]        [L]        [L]        [L]        [L]        [L]

      61.02000  0.372E+00  0.000E+00  0.372E+00  0.000E+00 -0.319E-01  0.744E-02  0.000E+00  0.744E-02  0.000E+00 -0.638E-03 -0.110E+03  0.000E+00 -0.100E+03       1
      61.04600  0.372E+00  0.000E+00  0.372E+00  0.000E+00 -0.319E-01  0.171E-01  0.000E+00  0.171E-01  0.000E+00 -0.147E-02 -0.118E+03  0.000E+00 -0.100E+03       2
      61.07980  0.372E+00  0.000E+00  0.372E+00  0.000E+00 -0.319E-01  0.297E-01  0.000E+00  0.297E-01  0.000E+00 -0.255E-02 -0.127E+03  0.000E+00 -0.100E+03       3
      61.12374  0.372E+00  0.000E+00  0.372E+00  0.000E+00 -0.319E-01  0.460E-01  0.000E+00  0.460E-01  0.000E+00 -0.395E-02 -0.136E+03  0.000E+00 -0.100E+03       4
      61.18086  0.372E+00  0.000E+00  0.372E+00  0.000E+00 -0.319E-01  0.673E-01  0.000E+00  0.673E-01  0.000E+00 -0.577E-02 -0.147E+03  0.000E+00 -0.100E+03       5
      61.25512  0.372E+00  0.000E+00  0.372E+00  0.000E+00 -0.319E-01  0.949E-01  0.000E+00  0.949E-01  0.000E+00 -0.814E-02 -0.161E+03  0.000E+00 -0.100E+03       6
      61.34823  0.372E+00  0.000E+00  0.372E+00  0.000E+00 -0.319E-01  0.130E+00  0.000E+00  0.130E+00  0.000E+00 -0.111E-01 -0.179E+03  0.000E+00 -0.100E+03       7
      61.47858  0.372E+00  0.000E+00  0.372E+00  0.000E+00 -0.319E-01  0.178E+00  0.000E+00  0.178E+00  0.000E+00 -0.153E-01 -0.206E+03  0.000E+00 -0.100E+03       8
      61.65239  0.372E+00  0.000E+00  0.372E+00  0.000E+00 -0.319E-01  0.243E+00  0.000E+00  0.243E+00  0.000E+00 -0.208E-01 -0.248E+03  0.000E+00 -0.100E+03       9
      61.82619  0.372E+00  0.000E+00  0.372E+00  0.000E+00 -0.319E-01  0.307E+00  0.000E+00  0.307E+00  0.000E+00 -0.264E-01 -0.302E+03  0.000E+00 -0.100E+03      10
      62.00000  0.372E+00  0.000E+00  0.372E+00  0.000E+00 -0.319E-01  0.372E+00  0.000E+00  0.372E+00  0.000E+00 -0.319E-01 -0.371E+03  0.000E+00 -0.100E+03      11
      62.20000  0.372E+00  0.000E+00  0.372E+00  0.000E+00 -0.319E-01  0.446E+00  0.000E+00  0.446E+00  0.000E+00 -0.383E-01 -0.489E+03  0.000E+00 -0.100E+03      12
      62.40000  0.372E+00  0.000E+00  0.372E+00  0.000E+00 -0.319E-01  0.521E+00  0.000E+00  0.521E+00  0.000E+00 -0.447E-01 -0.658E+03  0.000E+00 -0.100E+03      13
      62.60000  0.372E+00  0.000E+00  0.372E+00  0.000E+00 -0.319E-01  0.595E+00  0.000E+00  0.595E+00  0.000E+00 -0.511E-01 -0.929E+03  0.000E+00 -0.100E+03      14
      62.80000  0.372E+00  0.000E+00  0.372E+00  0.000E+00 -0.319E-01  0.669E+00  0.000E+00  0.669E+00  0.000E+00 -0.575E-01 -0.136E+04  0.000E+00 -0.100E+03      15
      63.00000  0.372E+00  0.000E+00  0.372E+00  0.000E+00 -0.319E-01  0.744E+00  0.000E+00  0.744E+00  0.000E+00 -0.638E-01 -0.215E+04  0.000E+00 -0.100E+03      16
      63.20000  0.372E+00  0.000E+00  0.372E+00  0.000E+00 -0.319E-01  0.818E+00  0.000E+00  0.818E+00  0.000E+00 -0.702E-01 -0.358E+04  0.000E+00 -0.100E+03      17
      63.40000  0.372E+00  0.000E+00  0.372E+00  0.000E+00 -0.319E-01  0.893E+00  0.000E+00  0.893E+00  0.000E+00 -0.766E-01 -0.641E+04  0.000E+00 -0.100E+03      18
      63.60000  0.372E+00  0.000E+00  0.335E+00  0.000E+00 -0.319E-01  0.967E+00  0.000E+00  0.960E+00  0.000E+00 -0.830E-01 -0.100E+05  0.000E+00 -0.100E+03      19
      63.73333  0.372E+00  0.000E+00  0.254E+00  0.000E+00 -0.319E-01  0.102E+01  0.000E+00  0.994E+00  0.000E+00 -0.873E-01 -0.100E+05  0.000E+00 -0.100E+03      20
      63.82222  0.372E+00  0.000E+00  0.235E+00  0.000E+00 -0.319E-01  0.105E+01  0.000E+00  0.101E+01  0.000E+00 -0.901E-01 -0.100E+05  0.000E+00 -0.100E+03      21
      64.00000  0.372E+00  0.000E+00  0.214E+00  0.000E+00 -0.319E-01  0.112E+01  0.000E+00  0.105E+01  0.000E+00 -0.958E-01 -0.100E+05  0.000E+00 -0.100E+03      22
      64.02000 -0.328E+00  0.000E+00 -0.328E+00  0.000E+00 -0.319E-01  0.111E+01  0.000E+00  0.105E+01  0.000E+00 -0.964E-01 -0.537E+04  0.000E+00 -0.100E+03      23
      64.04000 -0.328E+00  0.000E+00 -0.328E+00  0.000E+00 -0.319E-01  0.110E+01  0.000E+00  0.104E+01  0.000E+00 -0.970E-01 -0.327E+04  0.000E+00 -0.100E+03      24
      64.06000 -0.328E+00  0.000E+00 -0.328E+00  0.000E+00 -0.319E-01  0.110E+01  0.000E+00  0.103E+01  0.000E+00 -0.977E-01 -0.217E+04  0.000E+00 -0.100E+03      25
      64.08000 -0.328E+00  0.000E+00 -0.328E+00  0.000E+00 -0.319E-01  0.109E+01  0.000E+00  0.103E+01  0.000E+00 -0.983E-01 -0.151E+04  0.000E+00 -0.100E+03      26
      64.10000 -0.328E+00  0.000E+00 -0.328E+00  0.000E+00 -0.319E-01  0.108E+01  0.000E+00  0.102E+01  0.000E+00 -0.990E-01 -0.112E+04  0.000E+00 -0.100E+03      27
      64.12000 -0.328E+00  0.000E+00 -0.328E+00  0.000E+00 -0.319E-01  0.108E+01  0.000E+00  0.101E+01  0.000E+00 -0.996E-01 -0.861E+03  0.000E+00 -0.100E+03      28
      64.14000 -0.328E+00  0.000E+00 -0.328E+00  0.000E+00 -0.319E-01  0.107E+01  0.000E+00  0.101E+01  0.000E+00 -0.100E+00 -0.692E+03  0.000E+00 -0.100E+03      29
      64.16000 -0.328E+00  0.000E+00 -0.328E+00  0.000E+00 -0.319E-01  0.106E+01  0.000E+00  0.100E+01  0.000E+00 -0.101E+00 -0.580E+03  0.000E+00 -0.100E+03      30
      64.18000 -0.328E+00  0.000E+00 -0.328E+00  0.000E+00 -0.319E-01  0.106E+01  0.000E+00  0.993E+00  0.000E+00 -0.102E+00 -0.510E+03  0.000E+00 -0.100E+03      31
      64.20600 -0.328E+00  0.000E+00 -0.328E+00  0.000E+00 -0.319E-01  0.105E+01  0.000E+00  0.985E+00  0.000E+00 -0.102E+00 -0.442E+03  0.000E+00 -0.100E+03      32
      64.23200 -0.328E+00  0.000E+00 -0.328E+00  0.000E+00 -0.319E-01  0.104E+01  0.000E+00  0.976E+00  0.000E+00 -0.103E+00 -0.394E+03  0.000E+00 -0.100E+03      33
      64.25800 -0.328E+00  0.000E+00 -0.328E+00  0.000E+00 -0.319E-01  0.103E+01  0.000E+00  0.968E+00  0.000E+00 -0.104E+00 -0.360E+03  0.000E+00 -0.100E+03      34
      64.28400 -0.328E+00  0.000E+00 -0.328E+00  0.000E+00 -0.319E-01  0.102E+01  0.000E+00  0.959E+00  0.000E+00 -0.105E+00 -0.333E+03  0.000E+00 -0.100E+03      35
      64.31780 -0.328E+00  0.000E+00 -0.328E+00  0.000E+00 -0.319E-01  0.101E+01  0.000E+00  0.948E+00  0.000E+00 -0.106E+00 -0.301E+03  0.000E+00 -0.100E+03      36
      64.36174 -0.328E+00  0.000E+00 -0.328E+00  0.000E+00 -0.319E-01  0.997E+00  0.000E+00  0.934E+00  0.000E+00 -0.107E+00 -0.273E+03  0.000E+00 -0.100E+03      37
      64.40568 -0.328E+00  0.000E+00 -0.328E+00  0.000E+00 -0.319E-01  0.983E+00  0.000E+00  0.919E+00  0.000E+00 -0.109E+00 -0.249E+03  0.000E+00 -0.100E+03      38
      64.44962 -0.328E+00  0.000E+00 -0.328E+00  0.000E+00 -0.319E-01  0.968E+00  0.000E+00  0.905E+00  0.000E+00 -0.110E+00 -0.229E+03  0.000E+00 -0.100E+03      39
      64.50466 -0.328E+00  0.000E+00 -0.328E+00  0.000E+00 -0.319E-01  0.950E+00  0.000E+00  0.887E+00  0.000E+00 -0.112E+00 -0.212E+03  0.000E+00 -0.100E+03      40
      64.55970 -0.328E+00  0.000E+00 -0.328E+00  0.000E+00 -0.319E-01  0.932E+00  0.000E+00  0.869E+00  0.000E+00 -0.114E+00 -0.195E+03  0.000E+00 -0.100E+03      41
      64.61473 -0.328E+00  0.000E+00 -0.328E+00  0.000E+00 -0.319E-01  0.914E+00  0.000E+00  0.851E+00  0.000E+00 -0.115E+00 -0.183E+03  0.000E+00 -0.100E+03      42
      64.69179 -0.328E+00  0.000E+00 -0.328E+00  0.000E+00 -0.319E-01  0.889E+00  0.000E+00  0.826E+00  0.000E+00 -0.118E+00 -0.169E+03  0.000E+00 -0.100E+03      43
      64.79453 -0.328E+00  0.000E+00 -0.328E+00  0.000E+00 -0.319E-01  0.855E+00  0.000E+00  0.792E+00  0.000E+00 -0.121E+00 -0.154E+03  0.000E+00 -0.100E+03      44
      64.89726 -0.328E+00  0.000E+00 -0.328E+00  0.000E+00 -0.319E-01  0.821E+00  0.000E+00  0.758E+00  0.000E+00 -0.124E+00 -0.142E+03  0.000E+00 -0.100E+03      45
