        soln	      dist_x	        time	          pH	          pe	       Conta	       Contb	       Contc	     m_Conta	     m_Contb	     m_Contc	 m_SoraConta	 m_SorbContb	 m_SorcContc	
          51	         -50	           0	           7	   -0.871114	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          51	         -50	           5	           7	    -2.47352	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          51	         -50	          10	     7.00001	    -2.74318	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          51	         -50	          15	     7.00001	    -2.81725	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          51	         -50	          20	     7.00001	    -2.67343	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          51	         -50	          25	     7.00001	    -2.66203	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          51	         -50	          30	     7.00001	     -2.7397	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          51	         -50	          35	           7	    -2.61464	 1.0547e-025	 0.0000e+000	 0.0000e+000	 1.0547e-025	 0.0000e+000	 0.0000e+000	 2.8105e-025	 0.0000e+000	 0.0000e+000	
          51	         -50	          40	           7	     11.9785	 3.1749e-023	 0.0000e+000	 7.0467e-030	 3.1749e-023	 0.0000e+000	 7.0467e-030	 8.2797e-023	 0.0000e+000	 1.2436e-022	
          51	         -50	          45	     6.99998	      11.849	 7.0355e-016	 1.6458e-021	 1.4022e-028	 7.0355e-016	 1.6458e-021	 1.4022e-028	 1.6912e-015	 2.3692e-018	 1.2542e-021	
          51	         -50	          50	     6.99997	      11.633	 3.1140e-012	 2.2532e-017	 3.5369e-025	 3.1140e-012	 2.2532e-017	 3.5369e-025	 7.1851e-012	 1.2012e-014	 6.3389e-019	
          51	         -50	          55	     6.99999	    -3.58033	 9.0349e-011	 2.6232e-015	 4.5937e-022	 9.0349e-011	 2.6232e-015	 4.5937e-022	 2.2368e-010	 9.3245e-013	 2.1059e-016	
          51	         -50	          60	           7	    -3.70852	 3.7803e-010	 2.1829e-014	 1.2088e-020	 3.7803e-010	 2.1829e-014	 1.2088e-020	 9.7941e-010	 6.5694e-012	 3.0152e-015	
          51	         -50	          65	     7.00001	     -3.7756	 9.6120e-010	 8.8334e-014	 1.0002e-019	 9.6120e-010	 8.8334e-014	 1.0002e-019	 2.5736e-009	 2.3890e-011	 1.6897e-014	
          51	         -50	          70	     7.00001	     -3.8158	 1.8086e-009	 2.4324e-013	 4.9624e-019	 1.8086e-009	 2.4324e-013	 4.9624e-019	 4.9910e-009	 6.1270e-011	 6.2720e-014	
          51	         -50	          75	     6.99999	    -3.90137	 1.0191e-008	 7.9578e-013	 2.0517e-018	 1.0191e-008	 7.9578e-013	 2.0517e-018	 2.5525e-008	 1.6160e-010	 1.7719e-013	
          51	         -50	          80	           7	    -3.96003	 5.0600e-008	 5.1498e-012	 1.4049e-017	 5.0600e-008	 5.1498e-012	 1.4049e-017	 1.2997e-007	 8.8975e-010	 8.4684e-013	
          51	         -50	          85	           7	    -3.98569	 1.1894e-007	 1.9967e-011	 1.0101e-016	 1.1894e-007	 1.9967e-011	 1.0101e-016	 3.1514e-007	 3.1076e-009	 4.2333e-012	
          51	         -50	          90	     7.00001	    -4.00194	 2.1712e-007	 5.1343e-011	 4.5731e-016	 2.1712e-007	 5.1343e-011	 4.5731e-016	 5.8725e-007	 7.4221e-009	 1.4464e-011	
