 ******* Program HYDRUS
 ******* Evaporation Experiment - Ole Wendroth                                  
  
 Date:   1.10.    Time:  14:45:45
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
   76      7.32      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   77      7.42      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   78      7.53      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   79      7.63      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   80      7.74      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   81      7.84      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   82      7.95      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   83      8.05      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   84      8.16      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   85      8.26      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   86      8.37      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   87      8.47      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   88      8.58      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   89      8.68      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   90      8.79      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   91      8.89      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   92      9.00      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   93      9.11      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   94      9.22      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   95      9.33      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   96      9.44      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   97      9.56      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   98      9.67      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   99      9.78      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
  100      9.89      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
  101     10.00      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
end
