 ******* Program UNSATCHEM-1D
 ******* 
 Missouri Field Experiment - 1982                                        
 Date:  21. 3.    Time:  15:17:45
 Units: L = cm   , T = days , M = mmol 



                          Node( 21)                               Node( 41)                               Node( 56)

         time        h      theta    Temp    CO2             h      theta    Temp    CO2             h      theta    Temp    CO2      
         0.020    -100.00  0.3211   2.000  0.00033       -99.99  0.3991   2.000  0.00033      -100.00  0.3991   2.000  0.00033
         0.046    -100.00  0.3211   1.998  0.00036       -99.97  0.3991   2.000  0.00033      -100.00  0.3991   2.000  0.00033
         0.080    -100.00  0.3211   1.978  0.00041       -99.93  0.3991   2.000  0.00034      -100.00  0.3991   2.000  0.00033
         0.124     -99.99  0.3211   1.892  0.00047       -99.87  0.3991   2.000  0.00034      -100.00  0.3991   2.000  0.00033
         0.181     -99.98  0.3211   1.700  0.00055       -99.80  0.3992   1.999  0.00035      -100.00  0.3991   2.000  0.00033
         0.255     -99.97  0.3211   1.457  0.00066       -99.71  0.3992   1.991  0.00037      -100.00  0.3991   2.000  0.00033
         0.348     -99.96  0.3211   1.320  0.00080       -99.60  0.3993   1.965  0.00038      -100.00  0.3991   2.000  0.00034
         0.479     -99.99  0.3211   1.509  0.00097       -99.46  0.3993   1.911  0.00041      -100.00  0.3991   1.997  0.00034
         0.652    -100.09  0.3210   2.165  0.00120       -99.29  0.3994   1.869  0.00045       -99.99  0.3991   1.987  0.00034
         0.826    -100.24  0.3209   2.633  0.00152       -99.14  0.3995   1.910  0.00052       -99.97  0.3991   1.973  0.00035
         1.000    -100.43  0.3208   2.418  0.00183       -98.99  0.3996   2.002  0.00060       -99.95  0.3991   1.967  0.00035
         1.000    -100.43  0.3208   2.418  0.00183       -98.99  0.3996   2.002  0.00060       -99.95  0.3991   1.967  0.00035
         1.250    -100.78  0.3206   1.576  0.00207       -98.83  0.3996   2.056  0.00070       -99.91  0.3991   1.977  0.00036
         1.625    -101.39  0.3202   1.685  0.00226       -98.65  0.3997   1.947  0.00086       -99.84  0.3992   1.994  0.00037
         2.000    -102.04  0.3198   2.240  0.00250       -98.55  0.3998   1.911  0.00110       -99.76  0.3992   1.982  0.00039
         2.000    -102.04  0.3198   2.240  0.00250       -98.55  0.3998   1.911  0.00110       -99.76  0.3992   1.982  0.00039
         2.500    -102.96  0.3191   1.843  0.00277       -98.54  0.3998   1.991  0.00134       -99.66  0.3992   1.969  0.00041
         3.000    -103.89  0.3185   2.024  0.00302       -98.63  0.3997   1.971  0.00164       -99.57  0.3993   1.979  0.00045
         3.000    -103.89  0.3185   2.024  0.00302       -98.63  0.3997   1.971  0.00164       -99.57  0.3993   1.979  0.00045
         3.020    -103.93  0.3185   2.046  0.00317       -98.62  0.3997   1.969  0.00190       -99.57  0.3993   1.979  0.00050
         3.040    -103.96  0.3185   2.051  0.00318       -98.63  0.3997   1.967  0.00191       -99.56  0.3993   1.980  0.00051
         3.060    -104.00  0.3184   2.035  0.00319       -98.63  0.3997   1.966  0.00192       -99.56  0.3993   1.980  0.00051
         3.080    -104.04  0.3184   1.998  0.00319       -98.64  0.3997   1.966  0.00193       -99.56  0.3993   1.980  0.00051
         3.100    -104.08  0.3184   1.942  0.00319       -98.64  0.3997   1.966  0.00194       -99.55  0.3993   1.980  0.00051
         3.120    -104.11  0.3184   1.874  0.00320       -98.65  0.3997   1.967  0.00195       -99.55  0.3993   1.980  0.00052
         3.140    -104.15  0.3184   1.798  0.00319       -98.65  0.3997   1.968  0.00196       -99.55  0.3993   1.980  0.00052
         3.160    -104.18  0.3183   1.718  0.00319       -98.66  0.3997   1.969  0.00197       -99.54  0.3993   1.980  0.00052
         3.180    -104.22  0.3183   1.639  0.00319       -98.66  0.3997   1.969  0.00198       -99.54  0.3993   1.980  0.00052
         3.206    -104.25  0.3183   1.541  0.00319       -98.67  0.3997   1.968  0.00199       -99.54  0.3993   1.980  0.00053
         3.232    -104.28  0.3183   1.453  0.00319       -98.67  0.3997   1.966  0.00200       -99.53  0.3993   1.979  0.00053
         3.266    -104.28  0.3183   1.358  0.00320       -98.68  0.3997   1.960  0.00201       -99.53  0.3993   1.979  0.00053
