 ******* Program UNSATCHEM-1D
 ******* 
 Missouri Field Experiment - 1982                                        
 Date:  21. 3.    Time:  15:17:45
 Units: L = cm   , T = days , M = mmol 


 Time:       0.000000

 Node    Depth      Head Moisture       K          C         Flux        Sink     Kappa        Temp       CO2      CO2 Prod
         [L]       [L]     [-]        [L/T]      [1/L]      [L/T]        [1/T]     [-]          [-]       [-]         [-/T] 

  56   -40.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.1361E-03
  55   -41.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.1225E-03
  54   -42.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.1103E-03
  53   -43.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.9929E-04
  52   -44.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.8940E-04
  51   -45.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.8049E-04
  50   -46.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.7246E-04
  49   -47.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.6524E-04
  48   -48.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.5874E-04
  47   -49.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.5288E-04
  46   -50.50    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.4518E-04
  45   -52.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.3859E-04
  44   -54.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.3128E-04
  43   -56.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.2536E-04
  42   -58.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.2055E-04
  41   -60.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.1666E-04
  40   -62.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.1351E-04
  39   -64.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.1095E-04
  38   -66.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.8874E-05
  37   -68.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.7193E-05
  36   -70.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.5830E-05
  35   -72.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.4726E-05
  34   -74.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.3831E-05
  33   -76.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.3105E-05
  32   -78.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.2517E-05
  31   -80.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.2040E-05
  30   -82.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.1654E-05
