 ******* Program HYDRUS
 ******* Solute transport with nonlinear cation adsorption - Lai - Jurinak      
  
 Date:   1.10.    Time:  14: 3:59
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
   66     16.25      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   67     16.50      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   68     16.75      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   69     17.00      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   70     17.25      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   71     17.50      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   72     17.75      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   73     18.00      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   74     18.25      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   75     18.50      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   76     18.75      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   77     19.00      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   78     19.25      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   79     19.50      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   80     19.75      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   81     20.00      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   82     20.25      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   83     20.50      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   84     20.75      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   85     21.00      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   86     21.25      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   87     21.50      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   88     21.75      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   89     22.00      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   90     22.25      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
