 ******* Program HYDRUS
 ******* Solute transport with nonlinear cation adsorption                      
  
 Date:   8. 7.    Time:  19:20:18
 Units: L = cm   , T = days , M = mmol 



                             Node(  1)                                 Node( 11)                                 Node( 21)                                 Node( 31)                                 Node( 44)

       time         h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc     
          .404        .000   .6330   20.000   .497E+01          .000   .6330   20.000   .186E+01          .000   .6330   20.000   .717E+00          .000   .6330   20.000   .288E+00          .000   .6330   20.000   .127E+00
          .434        .000   .6330   20.000   .507E+01          .000   .6330   20.000   .197E+01          .000   .6330   20.000   .786E+00          .000   .6330   20.000   .328E+00          .000   .6330   20.000   .153E+00
          .465        .000   .6330   20.000   .517E+01          .000   .6330   20.000   .208E+01          .000   .6330   20.000   .857E+00          .000   .6330   20.000   .371E+00          .000   .6330   20.000   .182E+00
          .498        .000   .6330   20.000   .527E+01          .000   .6330   20.000   .219E+01          .000   .6330   20.000   .929E+00          .000   .6330   20.000   .416E+00          .000   .6330   20.000   .213E+00
          .532        .000   .6330   20.000   .537E+01          .000   .6330   20.000   .230E+01          .000   .6330   20.000   .100E+01          .000   .6330   20.000   .464E+00          .000   .6330   20.000   .246E+00
          .568        .000   .6330   20.000   .547E+01          .000   .6330   20.000   .241E+01          .000   .6330   20.000   .108E+01          .000   .6330   20.000   .514E+00          .000   .6330   20.000   .282E+00
          .606        .000   .6330   20.000   .556E+01          .000   .6330   20.000   .253E+01          .000   .6330   20.000   .116E+01          .000   .6330   20.000   .568E+00          .000   .6330   20.000   .320E+00
          .646        .000   .6330   20.000   .566E+01          .000   .6330   20.000   .264E+01          .000   .6330   20.000   .125E+01          .000   .6330   20.000   .624E+00          .000   .6330   20.000   .362E+00
          .686        .000   .6330   20.000   .575E+01          .000   .6330   20.000   .276E+01          .000   .6330   20.000   .133E+01          .000   .6330   20.000   .680E+00          .000   .6330   20.000   .404E+00
          .729        .000   .6330   20.000   .584E+01          .000   .6330   20.000   .287E+01          .000   .6330   20.000   .142E+01          .000   .6330   20.000   .741E+00          .000   .6330   20.000   .451E+00
          .775        .000   .6330   20.000   .593E+01          .000   .6330   20.000   .299E+01          .000   .6330   20.000   .151E+01          .000   .6330   20.000   .805E+00          .000   .6330   20.000   .500E+00
          .822        .000   .6330   20.000   .602E+01          .000   .6330   20.000   .311E+01          .000   .6330   20.000   .160E+01          .000   .6330   20.000   .871E+00          .000   .6330   20.000   .551E+00
          .870        .000   .6330   20.000   .611E+01          .000   .6330   20.000   .322E+01          .000   .6330   20.000   .169E+01          .000   .6330   20.000   .937E+00          .000   .6330   20.000   .603E+00
          .922        .000   .6330   20.000   .620E+01          .000   .6330   20.000   .334E+01          .000   .6330   20.000   .179E+01          .000   .6330   20.000   .101E+01          .000   .6330   20.000   .660E+00
          .977        .000   .6330   20.000   .629E+01          .000   .6330   20.000   .347E+01          .000   .6330   20.000   .189E+01          .000   .6330   20.000   .108E+01          .000   .6330   20.000   .719E+00
         1.031        .000   .6330   20.000   .637E+01          .000   .6330   20.000   .358E+01          .000   .6330   20.000   .199E+01          .000   .6330   20.000   .116E+01          .000   .6330   20.000   .779E+00
         1.086        .000   .6330   20.000   .645E+01          .000   .6330   20.000   .370E+01          .000   .6330   20.000   .208E+01          .000   .6330   20.000   .123E+01          .000   .6330   20.000   .839E+00
         1.141        .000   .6330   20.000   .653E+01          .000   .6330   20.000   .380E+01          .000   .6330   20.000   .217E+01          .000   .6330   20.000   .130E+01          .000   .6330   20.000   .898E+00
         1.195        .000   .6330   20.000   .660E+01          .000   .6330   20.000   .391E+01          .000   .6330   20.000   .227E+01          .000   .6330   20.000   .138E+01          .000   .6330   20.000   .957E+00
         1.250        .000   .6330   20.000   .667E+01          .000   .6330   20.000   .401E+01          .000   .6330   20.000   .236E+01          .000   .6330   20.000   .145E+01          .000   .6330   20.000   .102E+01
         1.320        .000   .6330   20.000   .676E+01          .000   .6330   20.000   .413E+01          .000   .6330   20.000   .247E+01          .000   .6330   20.000   .154E+01          .000   .6330   20.000   .109E+01
         1.391        .000   .6330   20.000   .684E+01          .000   .6330   20.000   .425E+01          .000   .6330   20.000   .258E+01          .000   .6330   20.000   .163E+01          .000   .6330   20.000   .117E+01
         1.466        .000   .6330   20.000   .692E+01          .000   .6330   20.000   .438E+01          .000   .6330   20.000   .269E+01          .000   .6330   20.000   .172E+01          .000   .6330   20.000   .125E+01
         1.544        .000   .6330   20.000   .700E+01          .000   .6330   20.000   .450E+01          .000   .6330   20.000   .281E+01          .000   .6330   20.000   .182E+01          .000   .6330   20.000   .133E+01
         1.623        .000   .6330   20.000   .708E+01          .000   .6330   20.000   .462E+01          .000   .6330   20.000   .292E+01          .000   .6330   20.000   .191E+01          .000   .6330   20.000   .141E+01
         1.708        .000   .6330   20.000   .715E+01          .000   .6330   20.000   .474E+01          .000   .6330   20.000   .304E+01          .000   .6330   20.000   .201E+01          .000   .6330   20.000   .150E+01
         1.796        .000   .6330   20.000   .723E+01          .000   .6330   20.000   .486E+01          .000   .6330   20.000   .316E+01          .000   .6330   20.000   .211E+01          .000   .6330   20.000   .159E+01
         1.886        .000   .6330   20.000   .731E+01          .000   .6330   20.000   .498E+01          .000   .6330   20.000   .328E+01          .000   .6330   20.000   .222E+01          .000   .6330   20.000   .168E+01
         1.977        .000   .6330   20.000   .738E+01          .000   .6330   20.000   .510E+01          .000   .6330   20.000   .340E+01          .000   .6330   20.000   .232E+01          .000   .6330   20.000   .177E+01
         2.068        .000   .6330   20.000   .745E+01          .000   .6330   20.000   .521E+01          .000   .6330   20.000   .351E+01          .000   .6330   20.000   .242E+01          .000   .6330   20.000   .186E+01
