        soln	      dist_x	        time	          pH	          pe	          Cl	          Ca	          Mg	          Na	           K	          Al	          Br	          Cd	          Zn	          Pb	           C	      m_CaX2	      m_MgX2	       m_NaX	        m_KX	      m_AlX3	      m_CdX2	      m_ZnX2	      m_PbX2	
          41	          -8	           0	         5.5	           4	 1.0000e-007	 1.0000e-007	 7.5000e-004	 6.0000e-003	 2.0000e-003	 5.0000e-004	 1.1152e-002	 9.0000e-005	 2.5000e-004	 1.0000e-004	 0.0000e+000	 6.7673e-007	 3.2024e-003	 1.3034e-003	 2.1775e-003	 1.3245e-003	 3.8545e-004	 1.6914e-003	 7.5828e-004	
          41	          -8	         0.1	         5.5	     13.0253	 1.0000e-007	 1.0000e-007	 7.5000e-004	 6.0000e-003	 2.0000e-003	 5.0000e-004	 1.1152e-002	 9.0000e-005	 2.5000e-004	 1.0000e-004	 0.0000e+000	 6.7673e-007	 3.2024e-003	 1.3034e-003	 2.1775e-003	 1.3245e-003	 3.8545e-004	 1.6914e-003	 7.5828e-004	
          41	          -8	         0.2	         5.5	     13.0066	 1.0013e-007	 1.0000e-007	 7.5000e-004	 6.0000e-003	 2.0000e-003	 5.0000e-004	 1.1152e-002	 9.0000e-005	 2.5000e-004	 1.0000e-004	 0.0000e+000	 6.7673e-007	 3.2024e-003	 1.3034e-003	 2.1775e-003	 1.3245e-003	 3.8545e-004	 1.6914e-003	 7.5828e-004	
          41	          -8	         0.3	         5.5	     13.0035	 1.1476e-007	 1.0000e-007	 7.5000e-004	 6.0000e-003	 2.0000e-003	 5.0000e-004	 1.1152e-002	 9.0000e-005	 2.5000e-004	 1.0000e-004	 0.0000e+000	 6.7673e-007	 3.2024e-003	 1.3034e-003	 2.1775e-003	 1.3245e-003	 3.8545e-004	 1.6914e-003	 7.5828e-004	
          41	          -8	         0.4	         5.5	     13.0011	 3.9143e-007	 1.0000e-007	 7.5001e-004	 6.0000e-003	 2.0000e-003	 5.0001e-004	 1.1152e-002	 9.0003e-005	 2.5000e-004	 1.0000e-004	 0.0000e+000	 6.7673e-007	 3.2024e-003	 1.3034e-003	 2.1775e-003	 1.3245e-003	 3.8545e-004	 1.6914e-003	 7.5828e-004	
          41	          -8	         0.5	     5.49998	     12.9998	 2.2625e-006	 1.0001e-007	 7.5008e-004	 6.0001e-003	 2.0001e-003	 5.0004e-004	 1.1150e-002	 9.0022e-005	 2.5003e-004	 1.0002e-004	 0.0000e+000	 6.7674e-007	 3.2024e-003	 1.3034e-003	 2.1775e-003	 1.3245e-003	 3.8545e-004	 1.6914e-003	 7.5828e-004	
          41	          -8	         0.6	     5.49991	     12.9994	 9.0243e-006	 1.0005e-007	 7.5035e-004	 6.0001e-003	 2.0005e-003	 5.0017e-004	 1.1145e-002	 9.0094e-005	 2.5012e-004	 1.0007e-004	 0.0000e+000	 6.7677e-007	 3.2025e-003	 1.3032e-003	 2.1776e-003	 1.3245e-003	 3.8546e-004	 1.6914e-003	 7.5828e-004	
          41	          -8	         0.7	     5.49972	     13.0053	 2.5567e-005	 1.0016e-007	 7.5108e-004	 6.0000e-003	 2.0016e-003	 5.0052e-004	 1.1133e-002	 9.0279e-005	 2.5036e-004	 1.0022e-004	 0.0000e+000	 6.7686e-007	 3.2026e-003	 1.3025e-003	 2.1778e-003	 1.3245e-003	 3.8547e-004	 1.6915e-003	 7.5830e-004	
          41	          -8	         0.8	     5.49931	     13.0226	 5.7066e-005	 1.0039e-007	 7.5259e-004	 5.9989e-003	 2.0039e-003	 5.0121e-004	 1.1110e-002	 9.0646e-005	 2.5087e-004	 1.0051e-004	 0.0000e+000	 6.7713e-007	 3.2029e-003	 1.3010e-003	 2.1781e-003	 1.3246e-003	 3.8551e-004	 1.6915e-003	 7.5834e-004	
          41	          -8	         0.9	     5.49854	     13.0479	 1.0780e-004	 1.0083e-007	 7.5527e-004	 5.9960e-003	 2.0079e-003	 5.0239e-004	 1.1072e-002	 9.1272e-005	 2.5177e-004	 1.0101e-004	 0.0000e+000	 6.7779e-007	 3.2035e-003	 1.2982e-003	 2.1788e-003	 1.3248e-003	 3.8559e-004	 1.6917e-003	 7.5841e-004	
          41	          -8	           1	     5.49727	     13.0499	 1.8055e-004	 1.0159e-007	 7.5951e-004	 5.9897e-003	 2.0141e-003	 5.0417e-004	 1.1018e-002	 9.2221e-005	 2.5318e-004	 1.0179e-004	 0.0000e+000	 6.7931e-007	 3.2045e-003	 1.2934e-003	 2.1798e-003	 1.3252e-003	 3.8572e-004	 1.6921e-003	 7.5855e-004	
          41	          -8	         1.1	     5.49534	     13.1172	 2.7656e-004	 1.0286e-007	 7.6566e-004	 5.9787e-003	 2.0229e-003	 5.0661e-004	 1.0946e-002	 9.3553e-005	 2.5522e-004	 1.0289e-004	 0.0000e+000	 6.8265e-007	 3.2061e-003	 1.2862e-003	 2.1810e-003	 1.3260e-003	 3.8593e-004	 1.6926e-003	 7.5876e-004	
          41	          -8	         1.2	      5.4926	     13.8418	 3.9569e-004	 1.0496e-007	 7.7402e-004	 5.9617e-003	 2.0344e-003	 5.0972e-004	 1.0857e-002	 9.5314e-005	 2.5798e-004	 1.0436e-004	 0.0000e+000	 6.8959e-007	 3.2085e-003	 1.2761e-003	 2.1824e-003	 1.3271e-003	 3.8626e-004	 1.6933e-003	 7.5907e-004	
          41	          -8	         1.3	     5.48892	     13.8466	 5.3682e-004	 1.0845e-007	 7.8486e-004	 5.9373e-003	 2.0487e-003	 5.1349e-004	 1.0752e-002	 9.7545e-005	 2.6154e-004	 1.0622e-004	 0.0000e+000	 7.0341e-007	 3.2119e-003	 1.2627e-003	 2.1837e-003	 1.3288e-003	 3.8672e-004	 1.6944e-003	 7.5952e-004	
          41	          -8	         1.4	     5.48418	     13.8521	 6.9810e-004	 1.1432e-007	 7.9838e-004	 5.9047e-003	 2.0656e-003	 5.1787e-004	 1.0632e-002	 1.0028e-004	 2.6597e-004	 1.0852e-004	 0.0000e+000	 7.2989e-007	 3.2163e-003	 1.2460e-003	 2.1844e-003	 1.3311e-003	 3.8735e-004	 1.6957e-003	 7.6010e-004	
