        soln	      dist_x	        time	          pH	          pe	          Si	          Na	          Al	    gibbsite	  d_gibbsite	     SiO2(a)	   d_SiO2(a)	
         101	        -100	          36	     7.66019	     11.5708	 1.9549e-003	 1.3715e-005	 1.2961e-007	 9.4350e-003	 1.5695e-011	 1.4909e-002	 7.7685e-010	
         101	        -100	          37	     7.86345	     11.3648	 1.9627e-003	 2.1947e-005	 2.0610e-007	 9.4350e-003	 8.2212e-012	 1.4909e-002	 4.0716e-010	
         101	        -100	          38	     8.04841	     11.1788	 1.9739e-003	 3.3655e-005	 3.1502e-007	 9.4350e-003	 4.3920e-012	 1.4909e-002	 2.1701e-010	
         101	        -100	          39	     8.21629	     11.0115	 1.9892e-003	 4.9616e-005	 4.6358e-007	 9.4350e-003	 2.3099e-012	 1.4909e-002	 1.1299e-010	
         101	        -100	          40	     8.36834	     10.8616	 2.0092e-003	 7.0530e-005	 6.5828e-007	 9.4350e-003	 1.0728e-012	 1.4909e-002	 5.0474e-011	
         101	        -100	          41	     8.50574	     10.7276	 2.0344e-003	 9.6941e-005	 9.0417e-007	 9.4350e-003	 2.4150e-013	 1.4909e-002	 7.6765e-012	
         101	        -100	          42	     8.62959	     10.6079	 2.0652e-003	 1.2916e-004	 1.2041e-006	 9.4350e-003	-3.9915e-013	 1.4909e-002	-2.6035e-011	
         101	        -100	          43	     8.74094	     10.5009	 2.1016e-003	 1.6721e-004	 1.5583e-006	 9.4350e-003	-9.4786e-013	 1.4909e-002	-5.5454e-011	
         101	        -100	          44	     8.84076	      10.405	 2.1433e-003	 2.1079e-004	 1.9641e-006	 9.4350e-003	-1.4390e-012	 1.4909e-002	-8.2130e-011	
         101	        -100	          45	     8.92995	     10.3191	 2.1897e-003	 2.5932e-004	 2.4159e-006	 9.4350e-003	-1.8713e-012	 1.4909e-002	-1.0576e-010	
         101	        -100	          46	     9.00938	     10.2417	 2.2400e-003	 3.1191e-004	 2.9054e-006	 9.4350e-003	-2.2258e-012	 1.4909e-002	-1.2519e-010	
         101	        -100	          47	     9.07985	      10.172	 2.2932e-003	 3.6748e-004	 3.4228e-006	 9.4350e-003	-2.4803e-012	 1.4909e-002	-1.3910e-010	
         101	        -100	          48	     9.14212	     10.1091	 2.3480e-003	 4.2483e-004	 3.9566e-006	 9.4350e-003	-2.6179e-012	 1.4909e-002	-1.4654e-010	
         101	        -100	          49	     9.19691	      10.052	 2.4033e-003	 4.8269e-004	 4.4951e-006	 9.4350e-003	-2.6339e-012	 1.4909e-002	-1.4723e-010	
         101	        -100	          50	     9.24488	     10.0002	 2.4580e-003	 5.3984e-004	 5.0270e-006	 9.4350e-003	-2.5365e-012	 1.4909e-002	-1.4163e-010	
         101	        -100	          51	     9.28669	      9.9529	 2.5109e-003	 5.9516e-004	 5.5419e-006	 9.4350e-003	-2.3453e-012	 1.4909e-002	-1.3083e-010	
         101	        -100	          52	     9.32293	     9.90957	 2.5611e-003	 6.4772e-004	 6.0309e-006	 9.4350e-003	-2.0874e-012	 1.4909e-002	-1.1637e-010	
         101	        -100	          53	     9.35417	     9.86966	 2.6080e-003	 6.9675e-004	 6.4872e-006	 9.4350e-003	-1.7925e-012	 1.4909e-002	-9.9863e-011	
         101	        -100	          54	     9.38093	     9.83267	 2.6510e-003	 7.4173e-004	 6.9057e-006	 9.4350e-003	-1.4880e-012	 1.4909e-002	-8.2855e-011	
         101	        -100	          55	     9.40371	     9.79816	 2.6898e-003	 7.8232e-004	 7.2834e-006	 9.4350e-003	-1.1962e-012	 1.4909e-002	-6.6579e-011	
         101	        -100	          56	     9.42298	     9.76571	 2.7243e-003	 8.1839e-004	 7.6191e-006	 9.4350e-003	-9.3290e-013	 1.4909e-002	-5.1902e-011	
         101	        -100	          57	     9.43917	     9.73493	 2.7545e-003	 8.4999e-004	 7.9131e-006	 9.4350e-003	-7.0685e-013	 1.4909e-002	-3.9313e-011	
         101	        -100	          58	     9.45268	     9.70549	 2.7806e-003	 8.7729e-004	 8.1671e-006	 9.4350e-003	-5.2109e-013	 1.4909e-002	-2.8974e-011	
         101	        -100	          59	     9.46386	     9.67707	 2.8029e-003	 9.0056e-004	 8.3836e-006	 9.4350e-003	-3.7426e-013	 1.4909e-002	-2.0806e-011	
         101	        -100	          60	     9.47305	     9.64939	 2.8216e-003	 9.2016e-004	 8.5659e-006	 9.4350e-003	-2.6224e-013	 1.4909e-002	-1.4575e-011	
         101	        -100	          61	     9.48055	     9.62221	 2.8372e-003	 9.3645e-004	 8.7175e-006	 9.4350e-003	-1.7944e-013	 1.4909e-002	-9.9725e-012	
         101	        -100	          62	     9.48662	     9.59532	 2.8500e-003	 9.4986e-004	 8.8422e-006	 9.4350e-003	-1.2007e-013	 1.4909e-002	-6.6717e-012	
         101	        -100	          63	     9.49149	     9.56852	 2.8604e-003	 9.6076e-004	 8.9437e-006	 9.4350e-003	-7.8620e-014	 1.4909e-002	-4.3688e-012	
         101	        -100	          64	     9.49537	     9.54167	 2.8688e-003	 9.6954e-004	 9.0254e-006	 9.4350e-003	-5.0453e-014	 1.4909e-002	-2.8029e-012	
         101	        -100	          65	     9.49844	     9.51467	 2.8755e-003	 9.7654e-004	 9.0905e-006	 9.4350e-003	-3.1746e-014	 1.4909e-002	-1.7634e-012	
         101	        -100	          66	     9.50085	     9.48738	 2.8808e-003	 9.8207e-004	 9.1419e-006	 9.4350e-003	-1.9628e-014	 1.4909e-002	-1.0889e-012	
         101	        -100	          67	     9.50272	     9.45974	 2.8849e-003	 9.8639e-004	 9.1821e-006	 9.4350e-003	-1.1874e-014	 1.4909e-002	-6.6041e-013	
         101	        -100	          68	     9.50417	     9.43171	 2.8881e-003	 9.8974e-004	 9.2133e-006	 9.4350e-003	-7.0758e-015	 1.4909e-002	-3.9372e-013	
