        soln	      dist_x	        time	          pH	          pe	          Si	          Na	          Al	    gibbsite	  d_gibbsite	     SiO2(a)	   d_SiO2(a)	
          51	         -50	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          51	         -50	           1	     6.26458	     11.6479	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          51	         -50	           2	     6.26458	      12.961	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.0297e-015	
          51	         -50	           3	     6.26458	     12.9905	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          51	         -50	           4	     6.26458	      13.003	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.7110e-017	
          51	         -50	           5	     6.26458	     13.0106	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          51	         -50	           6	     6.26458	     13.0107	 1.9422e-003	 1.0052e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          51	         -50	           7	     6.26458	     13.0059	 1.9422e-003	 1.4547e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          51	         -50	           8	     6.26459	     12.9987	 1.9422e-003	 1.7721e-011	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 1.8977e-016	
          51	         -50	           9	     6.26471	     12.9898	 1.9422e-003	 3.1805e-010	 1.2463e-008	 9.4350e-003	 1.0573e-015	 1.4909e-002	 4.6440e-014	
          51	         -50	          10	       6.266	     12.9782	 1.9422e-003	 3.5884e-009	 1.2460e-008	 9.4350e-003	 9.4941e-014	 1.4909e-002	 4.0840e-012	
          51	         -50	          11	      6.2752	     12.9569	 1.9423e-003	 2.6951e-008	 1.2439e-008	 9.4350e-003	 3.7606e-012	 1.4909e-002	 1.6282e-010	
          51	         -50	          12	      6.3218	     12.8963	 1.9423e-003	 1.4559e-007	 1.2417e-008	 9.4350e-003	 7.3744e-011	 1.4909e-002	 3.2704e-009	
