 ************************************************************************
 *                                                                      *
 *                                                                      *
 *Solute Transport with Nitrification Chain                             *
 *Parameter Estimation of Soil Hydraulic Properties                     *
 *                                                                      *
 ************************************************************************


 Program parameters
 ==================
 Max. iterations.....................(MIT)............... 50
 No. of observations.................(NOBb).............  93


 Solute transport parameters
 ===========================
 Bulk density........................(RO).............  .100E+04
 Longitudinal dispersivity...........(DISP)...........  .000E+00
 Type-1 adsorption sites fraction....(FRAC)...........  .100E+01
 Diffusion in water..................(DIFW)...........  .000E+00
 Diffusion in gas....................(DIFG)...........  .180E+00
 First adsorption coefficient........(KD).............  .000E+00
 Second adsorption coefficient.......(NU).............  .100E-03
 Third adsorption coefficient........(BETA)...........  .000E+00
 Henry law constant..................(HENRY)..........  .100E+01
 First-order reaction (liquid).......(SNKL1)..........  .000E+00
 First-order reaction (solid)........(SNKS1)..........  .000E+00
 first-order reaction (gas)..........(SNKG1)..........  .000E+00
 Chain first-order reaction (liquid).(SNKL1`).........  .000E+00
 Chain first-order reaction (solid)..(SNKS1`).........  .200E-02
 Chain first-order reaction (gas)....(SNKG1`).........  .200E-02
 Zero-order reaction (liquid)........(SNKL0)..........  .000E+00
 Zero-order reaction (solid).........(SNKS0)..........  .000E+00
 Zero-order reaction (gas)...........(SNKG0)..........  .000E+00
 Mass-transfer coefficient...........(ALPHA)..........  .000E+00
===========================
 Bulk density........................(RO).............  .000E+00
 Longitudinal dispersivity...........(DISP)........... 


 Observed Quantity 
 ==================
    Obs     Time    Quantity     Type  Position   Weight
    4     18.334     .8930E-25    .4820E-24     .000     4     1
    5     21.304     .3470E-22    .1337E-21     .000     4     1
    6     25.084     .2860E-19    .7680E-19     .000     4     1
    7     30.754     .1290E-15    .2305E-15     .000     4     1
    8     35.074     .2630E-13    .3900E-13     .000     4     1
    9     40.204     .5620E-11    .7140E-11     .000     4     1
   10     45.064     .4170E-09    .4847E-09     .000     4     1
   11     50.000     .1760E-07    .1928E-07     .000     4     1
   12     55.153     .4970E-06    .5234E-06     .000     4     1
   13     60.283     .8460E-05    .8704E-05     .000     4     1
   14     65.413     .9450E-04    .9581E-04     .000     4     1
   15     70.003     .5970E-03    .6005E-03     .000     4     1
   16     75.133     .3410E-02    .3419E-02     .000     4     1
   17     80.263          .014         .014     .000     4     1
   18     81.613          .020         .020     .000     4     1
   19     83.233          .029         .029     .000     4     1
   20     84.583          .039         .039     .000     4     1
   21     85.933          .052         .052     .000     4     1
   22     87.013          .064         .063     .000     4     1
   23     87.823          .074         .074     .000     4     1
   24     88.633          .085         .085     .000     4     1
   25     89.443          .097         .097     .000     4     1
   26     90.253          .111         .111     .000     4     1
   27     91.333          .131         .131     .000     4     1
   28     92.143          .147         .147     .000     4     1
   29     92.683          .159         .159     .000     4     1
   30     93.223          .171         .171     .000     4     1
   31     93.763          .183         .183     .000     4     1
   32     94.303          .196         .196     .000     4     1
   33     94.843          .209         .209     .000     4     1
   34     95.383          .223         .223     .000     4     1
   35     95.923          .237         .237     .000     4     1
   36     96.463          .251         .251     .000     4     1
   37     97.003          .265         .265     .000     4     1
   38     97.543          .280         .280     .000     4     1
   39     98.083          .295         .295     .000     4     1
   40     98.623          .310         .310     .000     4     1
   41     99.163          .325         .325     .000     4     1
   42     99.703          .340         .340     .000     4     1
   43    100.000          .348         .348     .000     4     1
   44    100.567          .364         .364     .000     4     1
   45    101.110          .379         .379     .000     4     1
   46    101.650          .394         .394     .000     4     1
   47    102.190          .408         .408     .000     4     1
   48    102.730          .422         .422     .000     4     1
   49    103.270          .436         .436     .000     4     1
   50    103.810          .449         .450    -.001     4     1
   51    104.350          .463         .463     .000     4     1
   52    104.890          .475         .475     .000     4     1
   53    105.430          .487         .487     .000     4     1
   54    105.970          .499         .499     .000     4     1
   55    106.510          .510         .510     .000     4     1
   56    107.050          .520         .520     .000     4     1
   57    107.590          .530         .530     .000     4     1
   58    108.130          .539         .540    -.001     4     1
   59    108.670          .548         .548     .000     4     1
   60    109.210          .556         .556     .000     4     1
   61    109.750          .564         .564     .000     4     1
   62    110.290          .571         .571     .000     4     1
