 ******* Program HYDRUS
 ******* Solute Transport with Nitrification Chain                              
  
 Date:   1.10.    Time:  14:30:40
 Units: L = cm   , T = hours, M = -    
 
 CosAlf,MaxIt,TolTh,  TolH
 1.000   20    .000  .10000
 
 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lChem,lTemp,lRoot,lWDep
 
     F     F     F     F     F     F     F     F     F     T     F     F     F

Nodal point information

node      x         hOld    MatN LayN  Beta      Ah       AK      ATh     Temp    Conc(1...NS)         Sorb(1...NS)
  72    -71.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  73    -72.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  74    -73.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  75    -74.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  76    -75.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  77    -76.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  78    -77.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  79    -78.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  80    -79.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  81    -80.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  82    -81.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  83    -82.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  84    -83.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  85    -84.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  86    -85.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  87    -86.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  88    -87.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  89    -88.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  90    -89.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  91    -90.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  92    -91.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  93    -92.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  94    -93.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  95    -94.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  96    -95.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  97    -96.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  98    -97.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
  99    -98.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 100    -99.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 101   -100.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 102   -101.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 103   -102.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 104   -103.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 105   -104.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 106   -105.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 107   -106.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 108   -107.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 109   -108.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 110   -109.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 111   -110.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 112   -111.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 113   -112.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 114   -113.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 115   -114.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 116   -115.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 117   -116.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 118   -117.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 119   -118.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 120   -119.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 121   -120.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 122   -121.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 123   -122.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 124   -123.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 125   -124.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 126   -125.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 127   -126.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 128   -127.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 129   -128.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 130   -129.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 131   -130.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 132   -131.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 133   -132.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 134   -133.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 135   -134.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 136   -135.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 137   -136.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 138   -137.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 139   -138.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 140   -139.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 141   -140.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 142   -141.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 143   -142.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 144   -143.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 145   -144.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 146   -145.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 147   -146.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 148   -147.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 149   -148.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 150   -149.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 151   -150.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 152   -151.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 153   -152.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 154   -153.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 155   -154.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 156   -155.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 157   -156.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 158   -157.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 159   -158.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 160   -159.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 161   -160.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 162   -161.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 163   -162.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 164   -163.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 165   -164.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 166   -165.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 167   -166.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 168   -167.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 169   -168.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 170   -169.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 171   -170.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 172   -171.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 173   -172.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 174   -173.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 175   -174.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 176   -175.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 177   -176.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 178   -177.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 179   -178.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 180   -179.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 181   -180.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 182   -181.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 183   -182.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 184   -183.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 185   -184.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 186   -185.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 187   -186.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 188   -187.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 189   -188.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 190   -189.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 191   -190.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 192   -191.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
