 ******* Program HYDRUS
 ******* Welcome to HYDRUS-1D                                                   
  
 Date:   1.10.    Time:  14: 5:44
 Units: L = cm   , T = days , M = mmol 



                             Node(  9)                                 Node( 20)                                 Node( 37)                                 Node( 52)                                 Node( 77)

       time         h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc     
          .100    -100.853   .2419   20.000   .399E-09      -100.881   .2419   20.000   .435E-26      -100.696   .2421   20.000   .000E+00      -100.533   .2422   20.000   .000E+00      -100.261   .2424   20.000   .000E+00
          .170    -101.303   .2416   20.000   .501E-08      -101.498   .2415   20.000   .245E-25      -101.184   .2417   20.000   .000E+00      -100.907   .2419   20.000   .000E+00      -100.445   .2422   20.000   .000E+00
          .240    -101.525   .2415   20.000   .856E-07      -102.115   .2410   20.000   .168E-24      -101.672   .2413   20.000   .000E+00      -101.280   .2416   20.000   .000E+00      -100.628   .2421   20.000   .000E+00
          .310    -101.456   .2415   20.000   .103E-05      -102.732   .2406   20.000   .188E-23      -102.160   .2410   20.000   .000E+00      -101.654   .2414   20.000   .000E+00      -100.812   .2420   20.000   .000E+00
          .380    -101.059   .2418   20.000   .808E-05      -103.348   .2401   20.000   .287E-22      -102.649   .2406   20.000   .000E+00      -102.029   .2411   20.000   .000E+00      -100.996   .2418   20.000   .000E+00
          .450    -100.332   .2423   20.000   .437E-04      -103.962   .2397   20.000   .431E-21      -103.137   .2403   20.000   .000E+00      -102.403   .2408   20.000   .000E+00      -101.180   .2417   20.000   .000E+00
          .520     -99.281   .2431   20.000   .173E-03      -104.575   .2392   20.000   .574E-20      -103.626   .2399   20.000   .000E+00      -102.778   .2405   20.000   .000E+00      -101.364   .2416   20.000   .000E+00
          .590     -97.964   .2441   20.000   .532E-03      -105.183   .2388   20.000   .668E-19      -104.115   .2395   20.000   .000E+00      -103.153   .2403   20.000   .000E+00      -101.549   .2414   20.000   .000E+00
          .661     -96.394   .2452   20.000   .132E-02      -105.787   .2383   20.000   .686E-18      -104.605   .2392   20.000   .000E+00      -103.528   .2400   20.000   .000E+00      -101.734   .2413   20.000   .000E+00
          .731     -94.709   .2467   20.000   .276E-02      -106.383   .2379   20.000   .630E-17      -105.094   .2388   20.000   .000E+00      -103.903   .2397   20.000   .000E+00      -101.919   .2412   20.000   .000E+00
          .801     -92.960   .2484   20.000   .503E-02      -106.970   .2374   20.000   .521E-16      -105.584   .2385   20.000   .000E+00      -104.279   .2394   20.000   .000E+00      -102.104   .2410   20.000   .000E+00
          .892     -90.530   .2508   20.000   .926E-02      -107.712   .2369   20.000   .119E-14      -106.220   .2380   20.000   .000E+00      -104.767   .2391   20.000   .000E+00      -102.345   .2409   20.000   .000E+00
          .983     -88.176   .2532   20.000   .149E-01      -108.428   .2364   20.000   .157E-13      -106.857   .2375   20.000   .000E+00      -105.255   .2387   20.000   .000E+00      -102.586   .2407   20.000   .000E+00
         1.074     -85.856   .2555   20.000   .216E-01      -109.109   .2359   20.000   .158E-12      -107.494   .2371   20.000   .000E+00      -105.744   .2383   20.000   .000E+00      -102.827   .2405   20.000   .000E+00
         1.192     -82.999   .2583   20.000   .317E-01      -109.928   .2353   20.000   .376E-11      -108.322   .2364   20.000   .000E+00      -106.380   .2379   20.000   .000E+00      -103.142   .2403   20.000   .000E+00
         1.310     -80.287   .2610   20.000   .428E-01      -110.662   .2347   20.000   .472E-10      -109.151   .2358   20.000   .000E+00      -107.016   .2374   20.000   .000E+00      -103.457   .2400   20.000   .000E+00
         1.429     -77.738   .2635   20.000   .546E-01      -111.297   .2343   20.000   .433E-09      -109.980   .2352   20.000   .000E+00      -107.653   .2369   20.000   .000E+00      -103.772   .2398   20.000   .000E+00
         1.547     -75.363   .2660   20.000   .668E-01      -111.820   .2339   20.000   .316E-08      -110.810   .2346   20.000   .000E+00      -108.290   .2365   20.000   .000E+00      -104.088   .2396   20.000   .000E+00
         1.665     -73.303   .2687   20.000   .791E-01      -112.215   .2336   20.000   .190E-07      -111.640   .2340   20.000   .000E+00      -108.927   .2360   20.000   .000E+00      -104.404   .2393   20.000   .000E+00
         1.819     -70.783   .2720   20.000   .952E-01      -112.497   .2334   20.000   .176E-06      -112.721   .2332   20.000   .000E+00      -109.758   .2354   20.000   .000E+00      -104.816   .2390   20.000   .000E+00
