 ******* Program HYDRUS
 ******* Heavy metal transport in a medium with a pH-dependent cation exchange c
 o
 Date:  30.10.    Time:   9:25:13
 Units: L = m    , T = years, M = mmol 


  TLevel   Time         dt     ItrW ItrC  ItCum  KodT  KodB Converg Peclet   Courant

      2113  .81000E-01  .24083E-04      2      1      4227    -1    -5     T      .202      .304
      2139  .82000E-01  .24083E-04      2      1      4279    -1    -5     T      .202      .304
      2165  .83000E-01  .24083E-04      2      1      4331    -1    -5     T      .202      .304
      2191  .84000E-01  .24083E-04      2      1      4383    -1    -5     T      .202      .304
      2217  .85000E-01  .24083E-04      2      1      4435    -1    -5     T      .202      .304
      2243  .86000E-01  .24083E-04      2      1      4487    -1    -5     T      .202      .304
      2269  .87000E-01  .24083E-04      2      1      4539    -1    -5     T      .202      .304
      2295  .88000E-01  .24083E-04      2      1      4591    -1    -5     T      .202      .304
      2321  .89000E-01  .24083E-04      2      1      4643    -1    -5     T      .202      .304
      2347  .90000E-01  .24083E-04      2      1      4695    -1    -5     T      .202      .304
      2373  .91000E-01  .24083E-04      2      1      4747    -1    -5     T      .202      .304
      2399  .92000E-01  .24083E-04      2      1      4799    -1    -5     T      .202      .304
      2425  .93000E-01  .24083E-04      2      1      4851    -1    -5     T      .202      .304
      2451  .94000E-01  .24083E-04      2      1      4903    -1    -5     T      .202      .304
      2477  .95000E-01  .24083E-04      2      1      4955    -1    -5     T      .202      .304
      2503  .96000E-01  .24083E-04      2      1      5007    -1    -5     T      .202      .304
      2529  .97000E-01  .24083E-04      2      1      5059    -1    -5     T      .202      .304
      2555  .98000E-01  .24083E-04      2      1      5111    -1    -5     T      .202      .304
      2581  .99000E-01  .24083E-04      2      1      5163    -1    -5     T      .202      .304
      2607  .10000E+00  .24083E-04      2      1      5215    -1    -5     T      .202      .304
      2633  .10100E+00  .24083E-04      2      1      5267    -1    -5     T      .202      .304
      2659  .10200E+00  .24083E-04      2      1      5319    -1    -5     T      .202      .304
      2685  .10300E+00  .24083E-04      2      1      5371    -1    -5     T      .202      .304
      2711  .10400E+00  .24083E-04      2      1      5423    -1    -5     T      .202      .304
      2737  .10500E+00  .24083E-04      2      1      5475    -1    -5     T      .202      .304
      2763  .10600E+00  .24083E-04      2      1      5527    -1    -5     T      .202      .304
      2789  .10700E+00  .24083E-04      2      1      5579    -1    -5     T      .202      .304
      2815  .10800E+00  .24083E-04      2      1      5631    -1    -5     T      .202      .304
      2841  .10900E+00  .24083E-04      2      1      5683    -1    -5     T      .202      .304
      2867  .11000E+00  .24083E-04      2      1      5735    -1    -5     T      .202      .304
      2893  .11100E+00  .24083E-04      2      1      5787    -1    -5     T      .202      .304
