  0.3880  -0.558E-01 -0.1253E+01  0.3037E-03  0.4223E+01  0.6256E+00    0.9999  0.3473E-23
  0.3880  -0.644E-01 -0.1191E+01  0.3189E-03  0.4168E+01  0.6199E+00    0.9999  0.6588E-23
  0.3880  -0.744E-01 -0.1128E+01  0.3348E-03  0.4110E+01  0.6139E+00    0.9999  0.1249E-22
  0.3880  -0.859E-01 -0.1066E+01  0.3515E-03  0.4050E+01  0.6075E+00    0.9999  0.2368E-22
  0.3880  -0.992E-01 -0.1004E+01  0.3691E-03  0.3988E+01  0.6007E+00    0.9999  0.4508E-22
  0.3880  -0.114E+00 -0.9413E+00  0.3875E-03  0.3923E+01  0.5936E+00    0.9999  0.8546E-22
  0.3880  -0.132E+00 -0.8789E+00  0.4068E-03  0.3855E+01  0.5860E+00    0.9998  0.1624E-21
  0.3880  -0.153E+00 -0.8165E+00  0.4271E-03  0.3785E+01  0.5780E+00    0.9998  0.3086E-21
  0.3879  -0.176E+00 -0.7541E+00  0.4484E-03  0.3711E+01  0.5695E+00    0.9998  0.5855E-21
  0.3879  -0.203E+00 -0.6918E+00  0.4707E-03  0.3635E+01  0.5605E+00    0.9997  0.1112E-20
  0.3879  -0.235E+00 -0.6294E+00  0.4941E-03  0.3556E+01  0.5510E+00    0.9996  0.2112E-20
  0.3879  -0.271E+00 -0.5670E+00  0.5186E-03  0.3474E+01  0.5408E+00    0.9996  0.4007E-20
  0.3879  -0.313E+00 -0.5046E+00  0.5443E-03  0.3389E+01  0.5300E+00    0.9995  0.7606E-20
  0.3878  -0.361E+00 -0.4422E+00  0.5713E-03  0.3301E+01  0.5186E+00    0.9994  0.1443E-19
  0.3878  -0.417E+00 -0.3798E+00  0.5994E-03  0.3209E+01  0.5064E+00    0.9992  0.2738E-19
  0.3878  -0.481E+00 -0.3175E+00  0.6289E-03  0.3115E+01  0.4934E+00    0.9991  0.5193E-19
  0.3877  -0.556E+00 -0.2551E+00  0.6598E-03  0.3017E+01  0.4795E+00    0.9989  0.9850E-19
  0.3877  -0.642E+00 -0.1927E+00  0.6920E-03  0.2916E+01  0.4648E+00    0.9986  0.1867E-18
  0.3876  -0.741E+00 -0.1303E+00  0.7255E-03  0.2812E+01  0.4490E+00    0.9984  0.3538E-18
  0.3875  -0.855E+00 -0.6792E-01  0.7605E-03  0.2705E+01  0.4322E+00    0.9980  0.6701E-18
  0.3874  -0.987E+00 -0.5532E-02  0.7969E-03  0.2595E+01  0.4141E+00    0.9976  0.1268E-17
  0.3873  -0.114E+01  0.5685E-01  0.8347E-03  0.2482E+01  0.3948E+00    0.9971  0.2399E-17
  0.3871  -0.132E+01  0.1192E+00  0.8738E-03  0.2367E+01  0.3741E+00    0.9965  0.4534E-17
  0.3870  -0.152E+01  0.1816E+00  0.9142E-03  0.2248E+01  0.3519E+00    0.9957  0.8560E-17
  0.3867  -0.175E+01  0.2440E+00  0.9557E-03  0.2128E+01  0.3280E+00    0.9949  0.1614E-16
  0.3865  -0.202E+01  0.3064E+00  0.9981E-03  0.2006E+01  0.3023E+00    0.9938  0.3038E-16
  0.3861  -0.234E+01  0.3688E+00  0.1041E-02  0.1882E+01  0.2746E+00    0.9925  0.5708E-16
  0.3858  -0.270E+01  0.4312E+00  0.1085E-02  0.1757E+01  0.2448E+00    0.9909  0.1070E-15
  0.3853  -0.312E+01  0.4935E+00  0.1129E-02  0.1631E+01  0.2125E+00    0.9890  0.2001E-15
  0.3847  -0.360E+01  0.5559E+00  0.1172E-02  0.1505E+01  0.1777E+00    0.9868  0.3730E-15
  0.3841  -0.415E+01  0.6183E+00  0.1214E-02  0.1380E+01  0.1399E+00    0.9841  0.6926E-15
  0.3833  -0.479E+01  0.6807E+00  0.1254E-02  0.1256E+01  0.9904E-01    0.9809  0.1280E-14
  0.3824  -0.553E+01  0.7431E+00  0.1292E-02  0.1134E+01  0.5470E-01    0.9771  0.2354E-14
  0.3812  -0.639E+01  0.8055E+00  0.1325E-02  0.1015E+01  0.6585E-02    0.9725  0.4300E-14
  0.3799  -0.738E+01  0.8679E+00  0.1354E-02  0.9002E+00 -0.4565E-01    0.9671  0.7798E-14
  0.3784  -0.852E+01  0.9302E+00  0.1376E-02  0.7900E+00 -0.1024E+00    0.9608  0.1402E-13
  0.3765  -0.983E+01  0.9926E+00  0.1391E-02  0.6856E+00 -0.1639E+00    0.9534  0.2495E-13
  0.3744  -0.114E+02  0.1055E+01  0.1397E-02  0.5879E+00 -0.2307E+00    0.9448  0.4389E-13
  0.3720  -0.131E+02  0.1117E+01  0.1392E-02  0.4977E+00 -0.3031E+00    0.9349  0.7621E-13
  0.3692  -0.151E+02  0.1180E+01  0.1376E-02  0.4156E+00 -0.3813E+00    0.9235  0.1304E-12
  0.3660  -0.175E+02  0.1242E+01  0.1347E-02  0.3421E+00 -0.4658E+00    0.9105  0.2194E-12
  0.3624  -0.202E+02  0.1305E+01  0.1306E-02  0.2775E+00 -0.5568E+00    0.8960  0.3626E-12
  0.3584  -0.233E+02  0.1367E+01  0.1253E-02  0.2216E+00 -0.6544E+00    0.8798  0.5874E-12
  0.3540  -0.269E+02  0.1429E+01  0.1189E-02  0.1743E+00 -0.7587E+00    0.8620  0.9318E-12
  0.3492  -0.310E+02  0.1492E+01  0.1116E-02  0.1350E+00 -0.8698E+00    0.8425  0.1445E-11
  0.3441  -0.358E+02  0.1554E+01  0.1035E-02  0.1029E+00 -0.9874E+00    0.8216  0.2191E-11
  0.3386  -0.413E+02  0.1616E+01  0.9484E-03  0.7736E-01 -0.1112E+01    0.7993  0.3242E-11
  0.3328  -0.477E+02  0.1679E+01  0.8597E-03  0.5732E-01 -0.1242E+01    0.7759  0.4685E-11
