
     Time      Short.Rad.    Long.Rad.    Radiation    Sensible      Latent     Heat Flux     Balance
      [d]       [MJ/m2/d]    [MJ/m2/d]    [MJ/m2/d]    [MJ/m2/d]   [MJ/m2/d]    [MJ/m2/d]    [MJ/m2/d]

   .32844E+03   .31622E+02  -.69552E+01   .24667E+02   .12248E+00   .68263E+01  -.17718E+02  -.57926E-06
   .32845E+03   .31622E+02  -.70485E+01   .24574E+02   .78772E-01   .69637E+01  -.17531E+02   .50344E-06
   .32846E+03   .31622E+02  -.71982E+01   .24424E+02   .56071E-01   .67754E+01  -.17593E+02   .10769E-05
   .32847E+03   .32465E+02  -.75366E+01   .24928E+02   .43709E+00   .67897E+01  -.17701E+02  -.56323E-07
   .32848E+03   .32465E+02  -.78859E+01   .24579E+02   .86478E+00   .65110E+01  -.17203E+02  -.72236E-06
   .32848E+03   .32465E+02  -.80803E+01   .24384E+02   .11297E+01   .67636E+01  -.16491E+02  -.35766E-06
   .32849E+03   .32465E+02  -.81640E+01   .24301E+02   .12181E+01   .59570E+01  -.17126E+02  -.90343E-06
   .32849E+03   .32465E+02  -.82051E+01   .24260E+02   .11592E+01   .65939E+01  -.16507E+02  -.21181E-06
   .32850E+03   .32465E+02  -.82226E+01   .24242E+02   .11107E+01   .58944E+01  -.17237E+02   .10203E-05
   .32850E+03   .32465E+02  -.82888E+01   .24176E+02   .11392E+01   .53356E+01  -.17701E+02  -.31708E-06
   .32851E+03   .27994E+02  -.80994E+01   .19894E+02   .74683E+00   .46448E+01  -.14503E+02   .41648E-06
   .32852E+03   .27994E+02  -.81282E+01   .19865E+02   .70867E+00   .41260E+01  -.15031E+02  -.15347E-05
   .32852E+03   .27994E+02  -.81949E+01   .19799E+02   .72691E+00   .36811E+01  -.15391E+02   .70185E-06
   .32853E+03   .27994E+02  -.83140E+01   .19680E+02   .81412E+00   .34818E+01  -.15384E+02  -.56867E-06
   .32854E+03   .27994E+02  -.83970E+01   .19597E+02   .83720E+00   .32874E+01  -.15472E+02  -.23685E-06
   .32855E+03   .19894E+02  -.78265E+01   .12067E+02   .10527E+00   .29728E+01  -.89890E+01  -.24351E-07
   .32856E+03   .19894E+02  -.76280E+01   .12266E+02  -.55836E-01   .28599E+01  -.94615E+01   .58447E-06
   .32857E+03   .19894E+02  -.75206E+01   .12373E+02  -.98014E-01   .26666E+01  -.98044E+01  -.13865E-06
   .32858E+03   .19894E+02  -.74922E+01   .12401E+02  -.52909E-01   .25516E+01  -.99027E+01   .48683E-06
   .32859E+03   .15422E+02  -.70923E+01   .83301E+01  -.27591E+00   .23574E+01  -.62486E+01  -.27259E-07
   .32860E+03   .15422E+02  -.69462E+01   .84762E+01  -.27578E+00   .23054E+01  -.64465E+01   .46187E-06
   .32861E+03   .15422E+02  -.68405E+01   .85819E+01  -.24696E+00   .21825E+01  -.66464E+01  -.24237E-06
