

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 
   337.00000   .226753E+00   .000000E+00  -.189475E+00   .000000E+00  -.100806E-02  -1807.825       .000  -1089.425     219
   337.04199   .227648E+00   .000000E+00  -.188583E+00   .000000E+00  -.101243E-02  -1678.781       .000  -1089.547     220
   337.08301   .228406E+00   .000000E+00  -.187828E+00   .000000E+00  -.101670E-02  -1575.203       .000  -1089.755     221
   337.12500   .229192E+00   .000000E+00  -.187044E+00   .000000E+00  -.102105E-02  -1507.391       .000  -1090.050     222
   337.16699   .230012E+00   .000000E+00  -.186226E+00   .000000E+00  -.102538E-02  -1453.584       .000  -1090.411     223
   337.20801   .230834E+00   .000000E+00  -.185407E+00   .000000E+00  -.102959E-02  -1412.107       .000  -1090.818     224
   337.25000   .231705E+00   .000000E+00  -.184536E+00   .000000E+00  -.103389E-02  -1380.786       .000  -1091.282     225
   337.29199   .232608E+00   .000000E+00  -.183635E+00   .000000E+00  -.103816E-02  -1357.979       .000  -1091.784     226
   337.33301   .234002E+00   .000000E+00  -.182233E+00   .000000E+00  -.104231E-02  -1395.412       .000  -1092.306     227
   337.37500   .237111E+00   .000000E+00  -.179077E+00   .000000E+00  -.104653E-02  -1636.207       .000  -1092.864     228
   337.41699   .244646E+00   .000000E+00  -.171419E+00   .000000E+00  -.105073E-02  -2732.100       .000  -1093.441     229
   337.45801   .254632E+00   .000000E+00  -.161311E+00   .000000E+00  -.105480E-02  -5219.508       .000  -1093.980     230
   337.50000   .265851E+00   .000000E+00  -.149974E+00   .000000E+00  -.105895E-02 -10693.990       .000  -1094.457     231
   337.54199   .276283E+00   .000000E+00  -.139508E+00   .000000E+00  -.106308E-02 -19934.200       .000  -1094.791     232
   337.58301   .285099E+00   .000000E+00  -.130761E+00   .000000E+00  -.106711E-02 -31478.040       .000  -1094.926     233
   337.62500   .292487E+00   .000000E+00  -.123534E+00   .000000E+00  -.107123E-02 -40949.520       .000  -1094.838     234
   337.66699   .297454E+00   .000000E+00  -.118782E+00   .000000E+00  -.107536E-02 -31222.620       .000  -1094.526     235
   337.70801   .300086E+00   .000000E+00  -.116231E+00   .000000E+00  -.107942E-02 -22461.490       .000  -1094.035     236
   337.75000   .301794E+00   .000000E+00  -.114554E+00   .000000E+00  -.108361E-02 -16787.720       .000  -1093.415     237
   337.79199   .303347E+00   .000000E+00  -.113020E+00   .000000E+00  -.108782E-02 -14023.600       .000  -1092.766     238
   337.83301   .305100E+00   .000000E+00  -.111283E+00   .000000E+00  -.109197E-02 -13086.140       .000  -1092.181     239
   337.87500   .306606E+00   .000000E+00  -.109790E+00   .000000E+00  -.109624E-02 -11798.110       .000  -1091.684     240
   337.91699   .307884E+00   .000000E+00  -.108521E+00   .000000E+00  -.110053E-02 -10521.570       .000  -1091.321     241
   337.95801   .308885E+00   .000000E+00  -.107527E+00   .000000E+00  -.110473E-02  -9342.784       .000  -1091.097     242
   338.00000   .309814E+00   .000000E+00  -.106604E+00   .000000E+00  -.110903E-02  -8268.318       .000  -1090.995     243
   338.04199   .310859E+00   .000000E+00  -.105561E+00   .000000E+00  -.111334E-02  -7747.312       .000  -1091.010     244
   338.08301   .311840E+00   .000000E+00  -.104583E+00   .000000E+00  -.111754E-02  -7283.015       .000  -1091.122     245
   338.12500   .312677E+00   .000000E+00  -.103749E+00   .000000E+00  -.112184E-02  -6686.616       .000  -1091.323     246
   338.16699   .313502E+00   .000000E+00  -.102928E+00   .000000E+00  -.112612E-02  -6240.884       .000  -1091.593     247
   338.20801   .314142E+00   .000000E+00  -.102289E+00   .000000E+00  -.113029E-02  -5774.279       .000  -1091.909     248
   338.25000   .314851E+00   .000000E+00  -.101583E+00   .000000E+00  -.113454E-02  -5410.277       .000  -1092.275     249
   338.29199   .315593E+00   .000000E+00  -.100842E+00   .000000E+00  -.113877E-02  -5131.410       .000  -1092.675     250
   338.33301   .316361E+00   .000000E+00  -.100065E+00   .000000E+00  -.114289E-02  -5030.068       .000  -1093.091     251
   338.37500   .318464E+00   .000000E+00  -.979084E-01   .000000E+00  -.114708E-02  -6451.131       .000  -1093.537     252
   338.41699   .323507E+00   .000000E+00  -.926934E-01   .000000E+00  -.115125E-02 -13052.520       .000  -1093.999     253
   338.45801   .330147E+00   .000000E+00  -.858995E-01   .000000E+00  -.115531E-02 -29955.310       .000  -1094.425     254
   338.50000   .337290E+00   .000000E+00  -.785224E-01   .000000E+00  -.115944E-02 -70454.880       .000  -1094.783     255
   338.54199   .344538E+00   .000000E+00  -.717854E-01   .000000E+00  -.116356E-02-100000.000       .000  -1094.980     256
   338.58301   .351630E+00   .000000E+00  -.669843E-01   .000000E+00  -.116758E-02-100000.000       .000  -1094.975     257
   338.62500   .358042E+00   .000000E+00  -.630608E-01   .000000E+00  -.117171E-02-100000.000       .000  -1094.759     258
   338.66699   .362514E+00   .000000E+00  -.597969E-01   .000000E+00  -.117585E-02-100000.000       .000  -1094.344     259
   338.70801   .364585E+00   .000000E+00  -.577748E-01   .000000E+00  -.117992E-02 -64948.920       .000  -1093.733     260
   338.75000   .366215E+00   .000000E+00  -.561894E-01   .000000E+00  -.118413E-02 -49672.530       .000  -1092.946     261
   338.79199   .368085E+00   .000000E+00  -.543521E-01   .000000E+00  -.118837E-02 -46584.350       .000  -1092.112     262
   338.83301   .369878E+00   .000000E+00  -.525811E-01   .000000E+00  -.119256E-02 -45093.750       .000  -1091.343     263
   338.87500   .371322E+00   .000000E+00  -.511508E-01   .000000E+00  -.119688E-02 -40186.420       .000  -1090.663     264
   338.91699   .372477E+00   .000000E+00  -.500078E-01   .000000E+00  -.120122E-02 -34826.460       .000  -1090.123     265
   338.95801   .373692E+00   .000000E+00  -.488038E-01   .000000E+00  -.120549E-02 -32431.780       .000  -1089.737     266
   339.00000   .374722E+00   .000000E+00  -.477828E-01   .000000E+00  -.120988E-02 -29019.490       .000  -1089.472     267
   339.04199   .375810E+00   .000000E+00  -.466960E-01   .000000E+00  -.121426E-02 -28007.730       .000  -1089.327     268
   339.08301   .377397E+00   .000000E+00  -.451107E-01   .000000E+00  -.121856E-02 -31221.340       .000  -1089.287     269
   339.12500   .378971E+00   .000000E+00  -.435400E-01   .000000E+00  -.122295E-02 -33030.310       .000  -1089.332     270
   339.16699   .380674E+00   .000000E+00  -.418336E-01   .000000E+00  -.122733E-02 -36204.230       .000  -1089.443     271
   339.20801   .382396E+00   .000000E+00  -.401121E-01   .000000E+00  -.123161E-02 -39205.540       .000  -1089.594     272
   339.25000   .383957E+00   .000000E+00  -.385599E-01   .000000E+00  -.123598E-02 -38886.180       .000  -1089.778     273
   339.29199   .385446E+00   .000000E+00  -.370755E-01   .000000E+00  -.124035E-02 -38569.240       .000  -1089.979     274
   339.33301   .387130E+00   .000000E+00  -.353658E-01   .000000E+00  -.124460E-02 -43656.990       .000  -1090.180     275
   339.37500   .389193E+00   .000000E+00  -.332514E-01   .000000E+00  -.124894E-02 -55963.220       .000  -1090.390     276
   339.41699   .392511E+00   .000000E+00  -.298578E-01   .000000E+00  -.125327E-02-100000.000       .000  -1090.584     277
   339.45801   .396449E+00   .000000E+00  -.271967E-01   .000000E+00  -.125749E-02-100000.000       .000  -1090.742     278
   339.50000   .402149E+00   .000000E+00  -.245939E-01   .000000E+00  -.126181E-02-100000.000       .000  -1090.841     279
   339.54199   .408017E+00   .000000E+00  -.221936E-01   .000000E+00  -.126612E-02-100000.000       .000  -1090.827     280
   339.58301   .413412E+00   .000000E+00  -.200062E-01   .000000E+00  -.127034E-02-100000.000       .000  -1090.661     281
   339.62500   .418044E+00   .000000E+00  -.179240E-01   .000000E+00  -.127468E-02-100000.000       .000  -1090.303     282
   339.66699   .421346E+00   .000000E+00  -.159999E-01   .000000E+00  -.127904E-02-100000.000       .000  -1089.760     283
   339.70801   .423813E+00   .000000E+00  -.142586E-01   .000000E+00  -.128333E-02-100000.000       .000  -1089.095     284
   339.75000   .426359E+00   .000000E+00  -.125821E-01   .000000E+00  -.128775E-02-100000.000       .000  -1088.325     285
   339.79199   .428858E+00   .000000E+00  -.109862E-01   .000000E+00  -.129222E-02-100000.000       .000  -1087.530     286
   339.83301   .431123E+00   .000000E+00  -.948660E-02   .000000E+00  -.129664E-02-100000.000       .000  -1086.786     287
   339.87500   .433325E+00   .000000E+00  -.800382E-02   .000000E+00  -.130118E-02-100000.000       .000  -1086.095     288
   339.91699   .435404E+00   .000000E+00  -.656750E-02   .000000E+00  -.130576E-02-100000.000       .000  -1085.504     289
   339.95801   .437379E+00   .000000E+00  -.520620E-02   .000000E+00  -.131027E-02-100000.000       .000  -1085.030     290
   340.00000   .439371E+00   .000000E+00  -.385076E-02   .000000E+00  -.131490E-02-100000.000       .000  -1084.645     291
end
