

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 
   330.20801   .230740E+00   .000000E+00   .137523E+00   .000000E+00  -.255660E-03-100000.000       .000  -1077.042      53
   330.25000   .232530E+00   .000000E+00   .138326E+00   .000000E+00  -.260646E-03-100000.000       .000  -1077.345      54
   330.29199   .234231E+00   .000000E+00   .139115E+00   .000000E+00  -.265621E-03-100000.000       .000  -1077.687      55
   330.33301   .236289E+00   .000000E+00   .139919E+00   .000000E+00  -.270457E-03-100000.000       .000  -1078.054      56
   330.37500   .239420E+00   .000000E+00   .140815E+00   .000000E+00  -.275388E-03-100000.000       .000  -1078.461      57
   330.41699   .244159E+00   .000000E+00   .141791E+00   .000000E+00  -.280293E-03-100000.000       .000  -1078.897      58
   330.45801   .250593E+00   .000000E+00   .142806E+00   .000000E+00  -.285068E-03-100000.000       .000  -1079.311      59
   330.50000   .258362E+00   .000000E+00   .143858E+00   .000000E+00  -.289929E-03-100000.000       .000  -1079.684      60
   330.54199   .266527E+00   .000000E+00   .144914E+00   .000000E+00  -.294776E-03-100000.000       .000  -1079.942      61
   330.58301   .274164E+00   .000000E+00   .145913E+00   .000000E+00  -.299503E-03-100000.000       .000  -1080.039      62
   330.62500   .281079E+00   .000000E+00   .146884E+00   .000000E+00  -.304348E-03-100000.000       .000  -1079.964      63
   330.66699   .286458E+00   .000000E+00   .147791E+00   .000000E+00  -.309198E-03-100000.000       .000  -1079.725      64
   330.70801   .290177E+00   .000000E+00   .148619E+00   .000000E+00  -.313950E-03-100000.000       .000  -1079.371      65
   330.75000   .293041E+00   .000000E+00   .149428E+00   .000000E+00  -.318837E-03-100000.000       .000  -1078.938      66
   330.79199   .295459E+00   .000000E+00   .150206E+00   .000000E+00  -.323751E-03-100000.000       .000  -1078.495      67
   330.83301   .297631E+00   .000000E+00   .150940E+00   .000000E+00  -.328570E-03-100000.000       .000  -1078.105      68
   330.87500   .299699E+00   .000000E+00   .151669E+00   .000000E+00  -.333522E-03-100000.000       .000  -1077.787      69
   330.91699   .301706E+00   .000000E+00   .152379E+00   .000000E+00  -.338486E-03-100000.000       .000  -1077.573      70
   330.95801   .303535E+00   .000000E+00   .153056E+00   .000000E+00  -.343342E-03-100000.000       .000  -1077.467      71
   331.00000   .305284E+00   .000000E+00   .153731E+00   .000000E+00  -.348321E-03-100000.000       .000  -1077.462      72
   331.04199   .306666E+00   .000000E+00   .154368E+00   .000000E+00  -.353293E-03-100000.000       .000  -1077.552      73
   331.08301   .307840E+00   .000000E+00   .154972E+00   .000000E+00  -.358144E-03-100000.000       .000  -1077.721      74
   331.12500   .308899E+00   .000000E+00   .155582E+00   .000000E+00  -.363097E-03-100000.000       .000  -1077.970      75
   331.16699   .310674E+00   .000000E+00   .156204E+00   .000000E+00  -.368035E-03-100000.000       .000  -1078.297      76
   331.20801   .313337E+00   .000000E+00   .156822E+00   .000000E+00  -.372843E-03-100000.000       .000  -1078.688      77
