 ************************************************************************
 *                                                                      *
 *                                                                      *
 *Welcome to HYDRUS-1D                                                  *
 *Parameter Estimation of Soil Hydraulic Properties                     *
 *                                                                      *
 ************************************************************************


 Program parameters
 ==================
 Max. iterations.....................(MIT)............... 50
 No. of observations.................(NOBb)............. 175


 Soil hydraulic properties
 =========================
 Residual moisture content...........(WCR)............     0.000
 Saturated moisture content..........(WCS)............     0.430
 First coefficient...................(ALPHA)..........     0.032
 Second coefficient..................(N)..............     2.657
 Saturated conductivity..............(CONDS).......... .1450E-01
 Pore conectivity factor.............(L)..............     0.660
 Moisture content....................(WCM)............     0.430
 Saturated moisture content (wetting)(WCSwet).........     0.384
 First coefficient (wettine).........(ALPHAW).........     0.067
 Saturated conductivity (wetting)....(CONDKW)......... .1000E-01


 Observed Quantity 
 ==================
    Obs     Time    Quantity     Type  Position   Weight
   136  10220.000      0.162       2     9      0.739820
   137  10220.000      0.084       2    10      0.739820
   138  12140.000      0.207       2     7      0.739820
   139  12140.000      0.186       2     8      0.739820
   140  12140.000      0.164       2     9      0.739820
   141  12140.000      0.120       2    10      0.739820
   142  14420.000      0.327       2     1      0.739820
   143  14420.000      0.318       2     2      0.739820
   144  14420.000      0.307       2     3      0.739820
   145  14420.000      0.291       2     4      0.739820
   146  14420.000      0.269       2     5      0.739820
   147  14420.000      0.252       2     6      0.739820
   148  14420.000      0.208       2     7      0.739820
   149  14420.000      0.185       2     8      0.739820
   150  14420.000      0.166       2     9      0.739820
   151  14420.000      0.131       2    10      0.739820
   152  21620.000      0.311       2     1      0.739820
   153  21620.000      0.307       2     2      0.739820
   154  21620.000      0.298       2     3      0.739820
   155  21620.000      0.285       2     4      0.739820
   156  21620.000      0.266       2     5      0.739820
   157  21620.000      0.244       2     6      0.739820
   158  21620.000      0.206       2     7      0.739820
   159  21620.000      0.186       2     8      0.739820
   160  21620.000      0.165       2     9      0.739820
   161  21620.000      0.138       2    10      0.739820
   162  32120.000      0.206       2     7      0.739820
   163  32120.000      0.187       2     8      0.739820
   164  32120.000      0.170       2     9      0.739820
   165  32120.000      0.148       2    10      0.739820
   166  36320.000      0.287       2     1      0.739820
   167  36320.000      0.293       2     2      0.739820
   168  36320.000      0.277       2     3      0.739820
   169  36320.000      0.271       2     4      0.739820
   170  36320.000      0.257       2     5      0.739820
   171  36320.000      0.241       2     6      0.739820
   172  36320.000      0.204       2     7      0.739820
   173  36320.000      0.186       2     8      0.739820
   174  36320.000      0.174       2     9      0.739820
   175  36320.000      0.151       2    10      0.739820



 Parameter estimation with the  1. initial estimate
 ==================================================

 Iteration     SSQ         WCR         WCS         ALPHA       N           CONDS       L           AlphaW
      0   0.4830D+00  0.1000E-03  0.4300E+00  0.3180E-01  0.2657E+01  0.1450E-01  0.6596E+00  0.6660E-01
      1   0.3793D+00  0.1000E-04  0.4281E+00  0.5101E-01  0.3723E+01  0.1526E-01  0.9109E+00  0.8029E-01
      2   0.1129D+00  0.2687E-03  0.4299E+00  0.6302E-01  0.3824E+01  0.1865E-01  0.9410E+00  0.8992E-01
      3   0.9532D-01  0.1000E-04  0.4221E+00  0.6061E-01  0.3266E+01  0.2193E-01  0.1671E+01  0.9248E-01
      4   0.7792D-01  0.1000E-04  0.4201E+00  0.6719E-01  0.3702E+01  0.2197E-01  0.1582E+01  0.9872E-01
      5   0.6559D-01  0.2032E-03  0.4197E+00  0.7051E-01  0.3861E+01  0.2210E-01  0.1657E+01  0.9935E-01
      6   0.6514D-01  0.1000E-04  0.4182E+00  0.7073E-01  0.4103E+01  0.2114E-01  0.1698E+01  0.9699E-01
      7   0.6463D-01  0.1108E-04  0.4200E+00  0.6820E-01  0.4077E+01  0.2072E-01  0.1516E+01  0.9578E-01
      8   0.6429D-01  0.1062E-04  0.4201E+00  0.6893E-01  0.4181E+01  0.2048E-01  0.1525E+01  0.9575E-01
      9   0.6429D-01  0.1025E-04  0.4202E+00  0.6864E-01  0.4180E+01  0.2043E-01  0.1504E+01  0.9552E-01
     10   0.6419D-01  0.1000E-04  0.4200E+00  0.6872E-01  0.4204E+01  0.2029E-01  0.1546E+01  0.9483E-01
     11   0.6413D-01  0.1000E-04  0.4198E+00  0.6838E-01  0.4213E+01  0.2016E-01  0.1541E+01  0.9439E-01


 Mass balance error in FE solution during final run was  0.0004 %


 Correlation matrix
 ==================
         1          2          3          4          5          6          7
   1   1.0000
   2   0.0750     1.0000
   3   0.0386    -0.4411     1.0000
   4   0.0428    -0.4167     0.8147     1.0000
   5   0.0002     0.3732    -0.5379    -0.8877     1.0000
   6   0.0377    -0.2235    -0.1396    -0.3642     0.4164     1.0000
   7   0.0077    -0.3808     0.6818     0.3759     0.0399    -0.1319     1.0000

 Non-linear least-squares analysis: final results
 ================================================
                                           95% Confidence limits
 Variable        Value        S.E.Coeff.     Lower         Upper
   WCR      0.10000E-04    0.35472E-03 -0.69031E-03  0.71031E-03
   WCS      0.41980E+00    0.41261E-02  0.41165E+00  0.42794E+00
   ALPHA    0.68379E-01    0.28052E-02  0.62841E-01  0.73917E-01
   N        0.42133E+01    0.36931E+00  0.34842E+01  0.49424E+01
   CONDS    0.20164E-01    0.76771E-03  0.18649E-01  0.21680E-01
   L        0.15413E+01    0.10567E+00  0.13327E+01  0.17499E+01
