 ************************************************************************
 *                                                                      *
 *                                                                      *
 *Multistep Outflow - Data from Jan Hopmans                             *
 *Multistep Outflow - Data from Jan Hopmans                             *
 *                                                                      *
 ************************************************************************


 Program parameters
 ==================
 Max. iterations.....................(MIT)............... 50
 No. of observations.................(NOBb)............. 229


 Soil hydraulic properties
 =========================
 Residual moisture content...........(WCR)............      .078
 Saturated moisture content..........(WCS)............      .430
 First coefficient...................(ALPHA)..........      .036
 Second coefficeint..................(N)..............     1.560
 Saturated conductivity..............(CONDS).......... .1040E+01
 Pore conectivity factor.............(L)..............      .500


 Observed Quantity 
 ==================
    Obs     Time    Quantity     Type  Position   Weight
   149    107.217   -382.406       1     1       .000565
   150    107.217      -.668       0     2       .464668
   151    107.717   -389.579       1     1       .000565
   152    107.717      -.670       0     2       .464668
   153    108.800   -401.225       1     1       .000565
   154    108.800      -.673       0     2       .464668
   155    109.800   -409.263       1     1       .000565
   156    109.800      -.674       0     2       .464668
   157    111.217   -418.020       1     1       .000565
   158    111.217      -.678       0     2       .464668
   159    112.634   -425.327       1     1       .000565
   160    112.634      -.681       0     2       .464668
   161    114.300   -432.487       1     1       .000565
   162    114.300      -.684       0     2       .464668
   163    116.384   -440.978       1     1       .000565
   164    116.384      -.688       0     2       .464668
   165    118.300   -448.218       1     1       .000565
   166    118.300      -.691       0     2       .464668
   167    121.050   -454.154       1     1       .000565
   168    121.050      -.693       0     2       .464668
   169    123.050   -462.059       1     1       .000565
   170    123.050      -.696       0     2       .464668
   171    125.134   -468.141       1     1       .000565
   172    125.134      -.700       0     2       .464668
   173    127.550   -474.916       1     1       .000565
   174    127.550      -.703       0     2       .464668
   175    129.717   -480.226       1     1       .000565
   176    129.717      -.706       0     2       .464668
   177    131.884   -485.416       1     1       .000565
   178    131.884      -.708       0     2       .464668
   179    133.967   -490.820       1     1       .000565
   180    133.967      -.711       0     2       .464668
   181    136.051   -495.904       1     1       .000565
   182    136.051      -.712       0     2       .464668
   183    138.134   -500.988       1     1       .000565
   184    138.134      -.715       0     2       .464668
   185    140.217   -505.832       1     1       .000565
   186    140.217      -.716       0     2       .464668
   187    142.301   -510.477       1     1       .000565
   188    142.301      -.718       0     2       .464668
   189    144.384   -514.949       1     1       .000565
   190    144.384      -.719       0     2       .464668
   191    147.217   -518.822       1     1       .000565
   192    147.217      -.721       0     2       .464668
   193    149.717   -523.879       1     1       .000565
   194    149.717      -.723       0     2       .464668
   195    152.134   -528.657       1     1       .000565
   196    152.134      -.725       0     2       .464668
   197    154.301   -532.596       1     1       .000565
   198    154.301      -.726       0     2       .464668
   199    156.384   -536.243       1     1       .000565
   200    156.384      -.727       0     2       .464668
   201    158.801   -540.622       1     1       .000565
   202    158.801      -.729       0     2       .464668
   203    161.717   -545.466       1     1       .000565
   204    161.717      -.731       0     2       .464668
   205    164.384   -549.765       1     1       .000565
   206    164.384      -.732       0     2       .464668
   207    166.884   -553.917       1     1       .000565
   208    166.884      -.734       0     2       .464668
   209    168.967   -557.218       1     1       .000565
   210    168.967      -.736       0     2       .464668
   211    171.301   -560.385       1     1       .000565
   212    171.301      -.736       0     2       .464668
   213    173.551   -562.381       1     1       .000565
   214    173.551      -.736       0     2       .464668
   215    175.634   -566.174       1     1       .000565
   216    175.634      -.737       0     2       .464668
   217    177.717   -568.929       1     1       .000565
